行政区,坐标,数量
宝山区,"121.308931,31.503056",2
宝山区,"121.308931,31.494056",6
宝山区,"121.317931,31.494056",3
宝山区,"121.317931,31.485056",10
宝山区,"121.317931,31.404056",16
宝山区,"121.326931,31.503056",2
宝山区,"121.326931,31.494056",12
宝山区,"121.326931,31.485056",68
宝山区,"121.326931,31.476056",74
宝山区,"121.326931,31.467056",96
宝山区,"121.326931,31.458056",121
宝山区,"121.326931,31.404056",17
宝山区,"121.326931,31.395056",23
宝山区,"121.326931,31.386056",15
宝山区,"121.335931,31.494056",9
宝山区,"121.335931,31.485056",161
宝山区,"121.335931,31.476056",231
宝山区,"121.335931,31.467056",54
宝山区,"121.335931,31.458056",20
宝山区,"121.335931,31.449056",26
宝山区,"121.335931,31.440056",22
宝山区,"121.335931,31.413056",470
宝山区,"121.335931,31.404056",117
宝山区,"121.335931,31.395056",42
宝山区,"121.335931,31.386056",30
宝山区,"121.335931,31.377056",10
宝山区,"121.335931,31.368056",28
宝山区,"121.335931,31.350056",301
宝山区,"121.344931,31.494056",3
宝山区,"121.344931,31.485056",161
宝山区,"121.344931,31.476056",169
宝山区,"121.344931,31.467056",53
宝山区,"121.344931,31.458056",49
宝山区,"121.344931,31.449056",8
宝山区,"121.344931,31.440056",13
宝山区,"121.344931,31.431056",31
宝山区,"121.344931,31.422056",523
宝山区,"121.344931,31.413056",713
宝山区,"121.344931,31.404056",348
宝山区,"121.344931,31.395056",83
宝山区,"121.344931,31.386056",43
宝山区,"121.344931,31.377056",11
宝山区,"121.344931,31.368056",46
宝山区,"121.344931,31.359056",53
宝山区,"121.344931,31.350056",152
宝山区,"121.344931,31.341056",140
宝山区,"121.344931,31.332056",94
宝山区,"121.344931,31.323056",245
宝山区,"121.344931,31.314056",328
宝山区,"121.344931,31.305056",280
宝山区,"121.353931,31.485056",5
宝山区,"121.353931,31.476056",51
宝山区,"121.353931,31.467056",36
宝山区,"121.353931,31.458056",41
宝山区,"121.353931,31.449056",4
宝山区,"121.353931,31.440056",20
宝山区,"121.353931,31.431056",100
宝山区,"121.353931,31.422056",289
宝山区,"121.353931,31.413056",406
宝山区,"121.353931,31.404056",282
宝山区,"121.353931,31.395056",322
宝山区,"121.353931,31.386056",338
宝山区,"121.353931,31.377056",58
宝山区,"121.353931,31.368056",60
宝山区,"121.353931,31.359056",116
宝山区,"121.353931,31.350056",228
宝山区,"121.353931,31.341056",160
宝山区,"121.353931,31.332056",92
宝山区,"121.353931,31.323056",209
宝山区,"121.353931,31.314056",327
宝山区,"121.353931,31.305056",248
宝山区,"121.362931,31.485056",3
宝山区,"121.362931,31.476056",6
宝山区,"121.362931,31.467056",6
宝山区,"121.362931,31.458056",3
宝山区,"121.362931,31.449056",2
宝山区,"121.362931,31.440056",19
宝山区,"121.362931,31.431056",23
宝山区,"121.362931,31.422056",96
宝山区,"121.362931,31.413056",81
宝山区,"121.362931,31.404056",130
宝山区,"121.362931,31.395056",263
宝山区,"121.362931,31.386056",345
宝山区,"121.362931,31.377056",183
宝山区,"121.362931,31.368056",169
宝山区,"121.362931,31.359056",272
宝山区,"121.362931,31.350056",591
宝山区,"121.362931,31.341056",482
宝山区,"121.362931,31.332056",58
宝山区,"121.362931,31.323056",90
宝山区,"121.362931,31.314056",125
宝山区,"121.362931,31.305056",80
宝山区,"121.362931,31.296056",143
宝山区,"121.371931,31.485056",3
宝山区,"121.371931,31.476056",7
宝山区,"121.371931,31.467056",5
宝山区,"121.371931,31.458056",3
宝山区,"121.371931,31.449056",2
宝山区,"121.371931,31.440056",7
宝山区,"121.371931,31.431056",15
宝山区,"121.371931,31.422056",49
宝山区,"121.371931,31.413056",43
宝山区,"121.371931,31.404056",13
宝山区,"121.371931,31.395056",56
